,sample_number,site,sample_design,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Nb,Ni,P,Pb,Rb,S,Sb,Sc,Se,Sn,Sr,Te,Th,Tl,U,V,Y,Zn,Zr
1,101,Forest,Grid,0.06,0.81,4.9,20,140,0.53,0.21,0.87,0.44,29.2,6.6,15,0.62,10.5,1.21,2.48,0.11,0.07,0.019,0.23,13.8,8.6,0.28,843,0.62,0.38,13.1,630,11.8,17.6,0.04,0.26,1.7,0.9,0.5,30.1,0.04,1.6,0.15,0.92,44,6.82,95,3.8
2,101,Forest,Transect,0.06,0.81,4.9,20,140,0.53,0.21,0.87,0.44,29.2,6.6,15,0.62,10.5,1.21,2.48,0.11,0.07,0.019,0.23,13.8,8.6,0.28,843,0.62,0.38,13.1,630,11.8,17.6,0.04,0.26,1.7,0.9,0.5,30.1,0.04,1.6,0.15,0.92,44,6.82,95,3.8
3,102,Forest,Grid,0.07,0.65,4.5,20,150,0.45,0.2,1.26,1.23,26.7,6.1,12,0.43,11.3,1.07,2.16,0.11,0.1,0.017,0.18,13.1,6.5,0.26,996,0.78,0.4,15.2,860,15.9,14,0.07,0.31,1.4,1.3,0.4,30.6,0.05,1.2,0.14,0.96,32,7.24,170,4.2
4,102,Forest,Transect,0.07,0.65,4.5,20,150,0.45,0.2,1.26,1.23,26.7,6.1,12,0.43,11.3,1.07,2.16,0.11,0.1,0.017,0.18,13.1,6.5,0.26,996,0.78,0.4,15.2,860,15.9,14,0.07,0.31,1.4,1.3,0.4,30.6,0.05,1.2,0.14,0.96,32,7.24,170,4.2
5,103,Forest,Grid,0.08,0.7,3.9,20,150,0.48,0.19,1.28,0.49,29.1,6.7,14,0.46,14.2,1.2,2.17,0.11,0.07,0.017,0.2,14.9,6.1,0.38,843,0.67,0.39,19.5,800,11.5,13.7,0.05,0.29,1.6,1.3,0.4,28.1,0.03,1.6,0.15,1.07,36,9.1,95,4
6,103,Forest,Transect,0.08,0.7,3.9,20,150,0.48,0.19,1.28,0.49,29.1,6.7,14,0.46,14.2,1.2,2.17,0.11,0.07,0.017,0.2,14.9,6.1,0.38,843,0.67,0.39,19.5,800,11.5,13.7,0.05,0.29,1.6,1.3,0.4,28.1,0.03,1.6,0.15,1.07,36,9.1,95,4
7,104,Forest,Grid,0.07,0.66,4.4,20,130,0.43,0.19,1.18,0.55,26.4,5.7,13,0.46,11.2,1.1,2.13,0.11,0.07,0.016,0.19,13.2,6.5,0.27,717,0.65,0.41,14.2,720,12.7,13.1,0.06,0.28,1.4,1,0.4,27.8,0.03,1.3,0.15,0.95,34,7.63,137,4.4
8,104,Forest,Transect,0.07,0.66,4.4,20,130,0.43,0.19,1.18,0.55,26.4,5.7,13,0.46,11.2,1.1,2.13,0.11,0.07,0.016,0.19,13.2,6.5,0.27,717,0.65,0.41,14.2,720,12.7,13.1,0.06,0.28,1.4,1,0.4,27.8,0.03,1.3,0.15,0.95,34,7.63,137,4.4
9,105,Forest,Grid,0.13,0.78,3.6,20,200,0.51,0.2,1.31,0.58,26.2,5.9,14,0.4,12.5,1.17,2.37,0.13,0.08,0.018,0.22,13.4,5.6,0.27,1100,0.73,0.41,16.2,860,14,13.6,0.06,0.2,1.5,0.9,0.5,28,0.03,1.6,0.13,0.89,36,7.2,194,4.3
10,105,Forest,Transect,0.13,0.78,3.6,20,200,0.51,0.2,1.31,0.58,26.2,5.9,14,0.4,12.5,1.17,2.37,0.13,0.08,0.018,0.22,13.4,5.6,0.27,1100,0.73,0.41,16.2,860,14,13.6,0.06,0.2,1.5,0.9,0.5,28,0.03,1.6,0.13,0.89,36,7.2,194,4.3
11,106,Forest,Grid,0.07,0.86,4.7,10,190,0.57,0.21,0.62,0.41,33.3,8.4,17,0.56,12.4,1.36,2.67,0.09,0.04,0.018,0.21,16,6.5,0.25,1220,0.62,0.4,19.2,670,11.1,15.2,0.03,0.2,2,0.6,0.4,18.9,0.03,2.1,0.16,0.89,43,8,123,3.3
12,106,Forest,Transect,0.07,0.86,4.7,10,190,0.57,0.21,0.62,0.41,33.3,8.4,17,0.56,12.4,1.36,2.67,0.09,0.04,0.018,0.21,16,6.5,0.25,1220,0.62,0.4,19.2,670,11.1,15.2,0.03,0.2,2,0.6,0.4,18.9,0.03,2.1,0.16,0.89,43,8,123,3.3
13,107,Forest,Grid,0.08,0.65,3.6,20,170,0.44,0.17,1.08,0.56,27.3,5.9,13,0.43,13.2,1.16,2.13,0.12,0.08,0.015,0.21,13.5,5.3,0.24,883,0.56,0.4,14.5,890,10.5,12.1,0.06,0.18,1.4,0.8,0.4,25.4,0.03,1.6,0.13,1.02,30,7.05,112,4
14,107,Forest,Transect,0.08,0.65,3.6,20,170,0.44,0.17,1.08,0.56,27.3,5.9,13,0.43,13.2,1.16,2.13,0.12,0.08,0.015,0.21,13.5,5.3,0.24,883,0.56,0.4,14.5,890,10.5,12.1,0.06,0.18,1.4,0.8,0.4,25.4,0.03,1.6,0.13,1.02,30,7.05,112,4
15,108,Forest,Grid,0.06,0.56,6.6,10,170,0.37,0.14,4.51,0.33,34.7,7.6,12,0.75,11.3,1.21,1.9,0.09,0.03,0.013,0.15,16.8,6.8,1.6,1000,1.13,0.33,20.1,580,8.6,12.1,0.07,0.36,1.9,0.8,0.3,51.1,0.03,3.9,0.19,1.26,31,10.15,50,5.1
16,108,Forest,Transect,0.06,0.56,6.6,10,170,0.37,0.14,4.51,0.33,34.7,7.6,12,0.75,11.3,1.21,1.9,0.09,0.03,0.013,0.15,16.8,6.8,1.6,1000,1.13,0.33,20.1,580,8.6,12.1,0.07,0.36,1.9,0.8,0.3,51.1,0.03,3.9,0.19,1.26,31,10.15,50,5.1
17,109,Forest,Grid,0.06,0.53,6.9,10,220,0.39,0.12,4.76,0.36,37.8,7.6,13,0.72,10.5,1.29,1.86,0.11,0.03,0.011,0.13,18.1,6.5,1.58,1020,1.19,0.27,20.1,590,7.8,11.2,0.08,0.36,2,0.8,0.3,58.3,0.04,4.7,0.18,1.35,32,10.35,45,5.6
18,109,Forest,Transect,0.06,0.53,6.9,10,220,0.39,0.12,4.76,0.36,37.8,7.6,13,0.72,10.5,1.29,1.86,0.11,0.03,0.011,0.13,18.1,6.5,1.58,1020,1.19,0.27,20.1,590,7.8,11.2,0.08,0.36,2,0.8,0.3,58.3,0.04,4.7,0.18,1.35,32,10.35,45,5.6
19,110,Forest,Grid,0.05,0.55,7.3,10,290,0.39,0.14,4.47,0.32,36.8,9.6,13,0.78,10.3,1.31,1.88,0.12,0.03,0.015,0.13,17.3,6.5,1.48,1400,1.18,0.18,23.6,590,9,11.8,0.08,0.35,2,0.6,0.3,59.7,0.04,4.6,0.18,1.32,35,10.5,49,6.8
20,110,Forest,Transect,0.05,0.55,7.3,10,290,0.39,0.14,4.47,0.32,36.8,9.6,13,0.78,10.3,1.31,1.88,0.12,0.03,0.015,0.13,17.3,6.5,1.48,1400,1.18,0.18,23.6,590,9,11.8,0.08,0.35,2,0.6,0.3,59.7,0.04,4.6,0.18,1.32,35,10.5,49,6.8
21,111,Forest,Grid,0.09,0.72,6,20,160,0.51,0.21,0.82,0.51,39.1,9.3,15,0.65,18.1,1.35,2.49,0.1,0.06,0.02,0.21,19.3,7.4,0.29,1050,0.8,0.43,25.9,840,12.7,17.1,0.05,0.37,1.9,1.1,0.4,25.4,0.04,2.3,0.21,1.26,40,12.2,92,4.2
22,111,Forest,Transect,0.09,0.72,6,20,160,0.51,0.21,0.82,0.51,39.1,9.3,15,0.65,18.1,1.35,2.49,0.1,0.06,0.02,0.21,19.3,7.4,0.29,1050,0.8,0.43,25.9,840,12.7,17.1,0.05,0.37,1.9,1.1,0.4,25.4,0.04,2.3,0.21,1.26,40,12.2,92,4.2
23,112,Forest,Grid,0.08,0.79,5.1,20,140,0.53,0.22,0.98,0.41,28.1,6,15,0.53,12.8,1.22,2.47,0.16,0.07,0.018,0.24,14.1,7.6,0.31,707,0.71,0.43,14.9,860,12.8,15.4,0.06,0.31,1.6,1.1,0.4,26.2,0.04,1.6,0.15,1,40,8.23,99,5.6
