"record_number","sample_name","measurement_date_time","dx_10","dx_50","dx_80","dx_90","specific_surface_area","result_below_2_mm","result_in_range_2_10_mm","result_above_63_mm","sampling_design","sample_number","Site"
4,"Average of '164'","7/28/2021 12:49",4.521069786,21.80372401,37.17277657,46.33630353,558.250606,2.172924228,19.96592087,2.030031632,"Fine scale",164,"Forest"
8,"Average of '165'","7/28/2021 13:08",3.738223612,18.29661301,33.49915059,42.91056441,668.1206144,2.966999339,25.50866544,1.488553452,"Fine scale",165,"Forest"
12,"Average of '166'","7/28/2021 13:18",4.052421351,19.72136966,34.58010172,43.66754378,618.9262466,2.629277747,22.69999207,1.441370161,"Fine scale",166,"Forest"
16,"Average of '167'","7/28/2021 13:33",4.468551902,22.38086786,39.03929013,49.18582165,564.0230106,2.347536992,20.10676898,3.205758851,"Fine scale",167,"Forest"
20,"Average of '168'","7/28/2021 13:41",3.98994086,18.8358263,34.01716701,43.42941855,631.1429124,2.599524209,24.43300963,1.609391641,"Fine scale",168,"Forest"
24,"Average of '169'","7/28/2021 13:54",4.08938455,19.31521327,34.00136164,43.03714789,616.510338,2.534194631,23.10248005,1.337528024,"Fine scale",169,"Forest"
28,"Average of '170'","7/28/2021 14:03",4.249864849,20.84894748,37.49170522,47.64703883,586.8281116,2.313239,22.52435667,2.823453414,"Fine scale",170,"Forest"
32,"Average of '150'","7/29/2021 13:16",3.207439958,17.1915838,38.33334502,51.47364224,746.6894399,3.502876851,31.43493269,5.12032603,"Fine scale",150,"Forest"
36,"Average of '151'","7/29/2021 13:35",3.083610837,17.63271938,38.97229404,51.91502918,758.3413358,3.880154309,30.76472369,5.172401611,"Fine scale",151,"Forest"
40,"Average of '152'","7/29/2021 13:42",3.567287054,22.38154777,44.24331208,57.16526224,653.0778848,3.021348364,25.76798332,7.081250175,"Fine scale",152,"Forest"
44,"Average of '153'","7/29/2021 13:50",3.479652109,20.94450269,39.96015113,51.22844796,678.3504322,3.238757932,25.95655455,4.344370943,"Fine scale",153,"Forest"
48,"Average of '154'","7/29/2021 13:57",3.674274639,22.33783954,42.25485168,54.1835116,648.5869821,3.186634792,23.8730203,5.589534589,"Fine scale",154,"Forest"
52,"Average of '155'","7/29/2021 14:05",3.409114526,18.96555911,39.66320557,52.15601418,693.872113,3.126199452,28.69970287,5.086430667,"Fine scale",155,"Forest"
56,"Average of '156'","7/29/2021 14:25",3.389521187,20.5185714,42.36744115,55.44005162,685.0271896,3.309412532,27.16519899,6.360647624,"Fine scale",156,"Forest"
60,"Average of '157'","7/29/2021 14:33",3.387335231,20.79104053,40.67325365,52.51555329,691.3382015,3.468413618,26.02889754,4.998005141,"Fine scale",157,"Forest"
64,"Average of '158'","7/29/2021 14:40",3.68325371,21.60583507,39.950147,51.03908327,642.126249,3.002970792,23.90267182,4.237582376,"Fine scale",158,"Forest"
68,"Average of '159'","7/29/2021 14:48",3.44230586,18.98955008,36.7270316,47.74933391,695.7477793,3.431224776,26.37574532,3.227454371,"Fine scale",159,"Forest"
76,"Average of '160'","7/29/2021 14:58",3.692625239,20.87459778,38.73767189,49.62761255,653.3222648,3.04542821,24.18794705,3.673033708,"Fine scale",160,"Forest"
80,"Average of '161'","7/29/2021 15:08",3.708938876,21.07084055,38.00636589,48.13417491,653.0283557,3.116181877,23.59272368,2.875330446,"Fine scale",161,"Forest"
84,"Average of '162'","7/29/2021 15:19",7.873239427,36.44239081,55.18896478,65.828503,357.354715,1.341497479,10.44464212,12.29646923,"Fine scale",162,"Forest"
88,"Average of '163'","7/29/2021 15:27",3.512485281,16.85342156,31.4208041,40.35290445,718.2561068,3.261593436,28.19786951,1.03654951,"Fine scale",163,"Forest"
4,"Average of '171'","7/28/2021 14:16",4.878728199,26.71415241,44.82587477,55.68337947,518.259929,2.272165235,16.81127724,5.819845676,"Likely to erode",171,"Forest"
8,"Average of '172'","7/28/2021 14:25",4.774215859,26.11367495,44.46527574,55.48716339,529.0175962,2.355319779,17.36693242,5.795704723,"Likely to erode",172,"Forest"
12,"Average of '173'","7/28/2021 14:32",5.516528682,29.48645165,46.78547882,56.99737962,451.8569007,1.720064959,14.39376693,6.300730171,"Likely to erode",173,"Forest"
16,"Average of '174'","7/28/2021 14:42",5.094462112,26.31174549,43.18169948,53.13362251,492.1940995,1.882669971,16.44040015,4.487931183,"Likely to erode",174,"Forest"
20,"Average of '175'","7/28/2021 14:49",4.716079026,23.5041492,39.03793118,48.35579207,529.111402,1.96729493,18.41889161,2.496228218,"Likely to erode",175,"Forest"
24,"Average of '176'","7/28/2021 14:58",4.452905652,23.06946008,39.19196571,48.83939706,551.5380658,2.132819071,19.85425298,2.776439393,"Likely to erode",176,"Forest"
28,"Average of '177'","7/28/2021 15:05",9.842220592,33.14957474,49.90217392,59.68682257,360.1271996,1.299857777,8.79216713,7.820103314,"Likely to erode",177,"Forest"
32,"Average of '178'","7/28/2021 15:21",4.275902241,24.58374274,45.32042295,57.92814398,580.3623254,2.759345877,20.12470086,7.399468241,"Likely to erode",178,"Forest"
4,"Average of '101'","8/4/2021 12:58",2.870435611,9.82011514,21.9934888,30.96894525,906.6076556,3.494636594,47.20696162,0.579535217,"Transect",101,"Forest"
8,"Average of '102'","8/4/2021 13:08",3.103139575,12.89392257,29.97706448,41.75320521,822.9276655,3.580608922,38.00763167,2.466555782,"Transect",102,"Forest"
16,"Average of '103'","8/4/2021 13:30",2.995313935,12.12906199,27.83082348,38.38662531,853.6236961,3.916150543,39.41235227,1.274287249,"Transect",103,"Forest"
20,"Average of '104'","8/4/2021 13:38",2.844177051,11.39718233,26.78966091,37.35816294,898.4152201,4.179287827,41.44494006,1.35407961,"Transect",104,"Forest"
28,"Average of '105'","8/4/2021 13:49",2.90432179,12.83695033,31.36000689,43.66419325,898.9128141,4.568739295,37.88146963,2.89539761,"Transect",105,"Forest"
32,"Average of '106'","8/4/2021 14:02",2.92383262,15.43042057,32.43468818,42.84451995,856.2579289,4.777513823,32.1494582,1.936528484,"Transect",106,"Forest"
