,sample_number,site,sample_design,X,Y,Z,x,y,u,v,L,a,b,h,c,R,G,B
1,1,Agriculture,Grid,26.04667009,22.64945827,6.261949207,0.473937067,0.412122463,8.498822627,4.129065399,54.70941794,3.483864811,9.430118323,1.216908888,10.0530814,139.5766673,128.3601118,114.4061794
2,1,Agriculture,Transect,26.04667009,22.64945827,6.261949207,0.473937067,0.412122463,8.498822627,4.129065399,54.70941794,3.483864811,9.430118323,1.216908888,10.0530814,139.5766673,128.3601118,114.4061794
3,2,Agriculture,Fine scale,20.79669635,18.07517926,5.025685453,0.473755166,0.411758167,7.736120275,3.636074146,49.5871652,3.27919427,8.549732684,1.204556596,9.15702157,125.8404215,115.5502561,103.2379763
4,2,Agriculture,Grid,20.79669635,18.07517926,5.025685453,0.473755166,0.411758167,7.736120275,3.636074146,49.5871652,3.27919427,8.549732684,1.204556596,9.15702157,125.8404215,115.5502561,103.2379763
5,2,Agriculture,Transect,20.79669635,18.07517926,5.025685453,0.473755166,0.411758167,7.736120275,3.636074146,49.5871652,3.27919427,8.549732684,1.204556596,9.15702157,125.8404215,115.5502561,103.2379763
6,3,Agriculture,Grid,22.26083806,19.32395302,5.323452697,0.474561319,0.411952174,8.254176119,3.874093908,51.0640814,3.472868226,9.071154428,1.205163524,9.7132207,130.0694241,119.1201322,105.9797757
7,3,Agriculture,Transect,22.26083806,19.32395302,5.323452697,0.474561319,0.411952174,8.254176119,3.874093908,51.0640814,3.472868226,9.071154428,1.205163524,9.7132207,130.0694241,119.1201322,105.9797757
8,4,Agriculture,Grid,22.18207709,19.11919243,5.047525953,0.478590152,0.412506781,9.774413105,4.397930766,50.82636483,4.152086868,10.53507899,1.195369044,11.32376769,130.9540897,118.0209488,102.8836539
9,4,Agriculture,Transect,22.18207709,19.11919243,5.047525953,0.478590152,0.412506781,9.774413105,4.397930766,50.82636483,4.152086868,10.53507899,1.195369044,11.32376769,130.9540897,118.0209488,102.8836539
10,5,Agriculture,Grid,19.12352286,16.55023822,4.496628382,0.47606018,0.41200094,8.298148225,3.770285667,47.68826319,3.579259779,9.080611426,1.195330166,9.760563735,121.6471004,110.5912984,97.69627484
11,5,Agriculture,Transect,19.12352286,16.55023822,4.496628382,0.47606018,0.41200094,8.298148225,3.770285667,47.68826319,3.579259779,9.080611426,1.195330166,9.760563735,121.6471004,110.5912984,97.69627484
12,6,Agriculture,Grid,30.61770195,26.68776227,7.411717737,0.473100049,0.412375222,8.612578642,4.405061003,58.68419588,3.421415787,9.781809287,1.234323475,10.36290881,149.9326475,138.6293386,123.7843531
13,6,Agriculture,Transect,30.61770195,26.68776227,7.411717737,0.473100049,0.412375222,8.612578642,4.405061003,58.68419588,3.421415787,9.781809287,1.234323475,10.36290881,149.9326475,138.6293386,123.7843531
14,7,Agriculture,Grid,24.32050763,21.1109507,5.792502737,0.474787719,0.412130383,8.622724536,4.096379855,53.07070991,3.581244897,9.488952728,1.20991268,10.14226498,135.5168469,124.1155527,110.223637
15,7,Agriculture,Transect,24.32050763,21.1109507,5.792502737,0.474787719,0.412130383,8.622724536,4.096379855,53.07070991,3.581244897,9.488952728,1.20991268,10.14226498,135.5168469,124.1155527,110.223637
16,8,Agriculture,Grid,24.58906604,21.33591312,5.794589493,0.475430609,0.412530763,8.822498127,4.287330175,53.31518722,3.632437255,9.897305917,1.219046517,10.54283002,136.3245189,124.6994203,110.1076706
17,8,Agriculture,Transect,24.58906604,21.33591312,5.794589493,0.475430609,0.412530763,8.822498127,4.287330175,53.31518722,3.632437255,9.897305917,1.219046517,10.54283002,136.3245189,124.6994203,110.1076706
18,9,Agriculture,Grid,24.68196388,21.48334477,5.999829032,0.473150556,0.411833376,8.045398638,3.877187013,53.4744774,3.326192969,8.89281161,1.212874894,9.494506727,135.9786925,125.3294002,112.2629455
19,9,Agriculture,Transect,24.68196388,21.48334477,5.999829032,0.473150556,0.411833376,8.045398638,3.877187013,53.4744774,3.326192969,8.89281161,1.212874894,9.494506727,135.9786925,125.3294002,112.2629455
20,10,Agriculture,Grid,27.94180529,24.24790205,6.540954276,0.4757618,0.412866148,9.365245385,4.659337633,56.33514875,3.778464022,10.58673861,1.227983011,11.24081068,144.5876551,132.305195,116.4352785
21,10,Agriculture,Transect,27.94180529,24.24790205,6.540954276,0.4757618,0.412866148,9.365245385,4.659337633,56.33514875,3.778464022,10.58673861,1.227983011,11.24081068,144.5876551,132.305195,116.4352785
22,11,Agriculture,Grid,25.45078168,22.14114574,6.095394859,0.47405571,0.412409202,8.376458481,4.177629724,54.1764432,3.412204839,9.517436589,1.226550308,10.11062516,138.0817649,127.0542359,112.9070067
23,11,Agriculture,Transect,25.45078168,22.14114574,6.095394859,0.47405571,0.412409202,8.376458481,4.177629724,54.1764432,3.412204839,9.517436589,1.226550308,10.11062516,138.0817649,127.0542359,112.9070067
24,12,Agriculture,Grid,24.64868581,21.46909446,6.019582328,0.47276434,0.411779449,7.886251791,3.821263514,53.45911276,3.25627947,8.744758574,1.214334032,9.331353519,135.7818303,125.34186,112.4805341
25,12,Agriculture,Transect,24.64868581,21.46909446,6.019582328,0.47276434,0.411779449,7.886251791,3.821263514,53.45911276,3.25627947,8.744758574,1.214334032,9.331353519,135.7818303,125.34186,112.4805341
26,13,Agriculture,Grid,26.49565861,23.12080266,6.550808088,0.471727732,0.411641921,7.705563999,3.795532391,55.19655146,3.145349855,8.566357563,1.218903772,9.125552455,140.0462591,129.8554498,117.1383736
27,13,Agriculture,Transect,26.49565861,23.12080266,6.550808088,0.471727732,0.411641921,7.705563999,3.795532391,55.19655146,3.145349855,8.566357563,1.218903772,9.125552455,140.0462591,129.8554498,117.1383736
28,14,Agriculture,Grid,21.99502955,19.08455109,5.245604544,0.474796365,0.411969235,8.304772182,3.88076777,50.78598037,3.502534381,9.113636888,1.203881611,9.763509841,129.4175804,118.3979807,105.2217256
29,14,Agriculture,Transect,21.99502955,19.08455109,5.245604544,0.474796365,0.411969235,8.304772182,3.88076777,50.78598037,3.502534381,9.113636888,1.203881611,9.763509841,129.4175804,118.3979807,105.2217256
30,15,Agriculture,Grid,22.24615265,19.36928857,5.467082819,0.47249278,0.411390191,7.543482546,3.528683852,51.11648634,3.182640956,8.211678338,1.20104686,8.806864628,129.5081194,119.4639389,107.5968208
31,16,Agriculture,Grid,20.75438321,18.02682804,5.010689654,0.473932001,0.411647534,7.8340776,3.622130109,49.52863094,3.337411272,8.552883343,1.198758938,9.180965498,125.7950176,115.3608062,103.0959309
32,17,Agriculture,Fine scale,21.81629958,19.00237302,5.404377927,0.471978793,0.411101665,7.348742695,3.375955614,50.68998232,3.124946223,7.888924155,1.193640825,8.485305724,128.245247,118.4311549,107.1056023
33,17,Agriculture,Grid,21.81629958,19.00237302,5.404377927,0.471978793,0.411101665,7.348742695,3.375955614,50.68998232,3.124946223,7.888924155,1.193640825,8.485305724,128.245247,118.4311549,107.1056023
34,18,Agriculture,Grid,22.75326125,19.90138221,5.767616285,0.469892594,0.410996561,6.620735345,3.205748754,51.7255285,2.763160496,7.326856494,1.210161587,7.830573543,130.1274009,121.3070428,110.6255106
35,19,Agriculture,Grid,23.44205701,20.42698439,5.762523885,0.472321533,0.411572439,7.587488687,3.640771418,52.31657337,3.159634403,8.37811853,1.210160137,8.954114119,132.5837749,122.51338,110.2761605
36,20,Agriculture,Grid,25.33898475,21.99703344,5.993159083,0.47514299,0.41247652,8.826393825,4.299361615,54.02385684,3.621345681,9.881124839,1.219506179,10.5238193,138.1376955,126.5102927,111.9004777
37,21,Agriculture,Grid,24.42552518,21.18587442,5.802349384,0.475077691,0.412066322,8.786734918,4.11636141,53.15232513,3.662509899,9.567601812,1.205201987,10.24465632,135.8896788,124.2623262,110.2965856
38,22,Agriculture,Grid,22.80852858,19.86111095,5.616790835,0.472358971,0.411318683,7.590519316,3.535774626,51.67981585,3.198598812,8.210457929,1.199308176,8.811506895,130.9815944,120.873647,108.9974145
39,23,Agriculture,Grid,30.53079665,26.62204138,7.438331857,0.472677561,0.412162242,8.469934799,4.290497764,58.62284009,3.377777416,9.533776922,1.230299624,10.11445909,149.6380953,138.5026759,124.0748666
40,24,Agriculture,Grid,23.0286041,20.08028745,5.729848656,0.471523303,0.411154902,7.311842781,3.425441513,51.92786494,3.07493732,7.915117708,1.200252314,8.491426726,131.3342398,121.59092,110.1227126
41,25,Agriculture,Grid,20.72926985,17.93217012,4.816989792,0.476771355,0.412438311,8.763922536,4.081834748,49.41373381,3.717340443,9.718136065,1.205452811,10.40484447,126.4075061,114.7965062,100.8067841
42,26,Agriculture,Grid,20.27668849,17.63456123,4.961390875,0.472951706,0.411324355,7.448071518,3.414470802,49.0498364,3.191517178,8.070982615,1.194234889,8.679086488,124.2178024,114.2679798,102.749874
43,27,Agriculture,Grid,25.21546366,21.90080412,5.993704267,0.474778327,0.412367081,8.679473818,4.223593151,53.92159763,3.564981955,9.701454699,1.218644641,10.33573024,137.7342105,126.291478,111.9604677
44,28,Agriculture,Grid,25.52417486,22.12849295,5.990679288,0.475812496,0.412511414,9.143715744,4.391143714,54.16307296,3.763594342,10.13644351,1.215279252,10.81259125,138.806859,126.759162,111.8079149
45,29,Agriculture,Grid,19.91131403,17.34733176,4.977477052,0.471428547,0.410722637,6.944429309,3.099347933,48.69472691,3.008517442,7.346356795,1.182105728,7.93852224,122.8398126,113.5120098,103.1278967
46,30,Agriculture,Grid,24.45129865,21.4390705,6.350796237,0.468046577,0.410386528,6.201560362,2.95629926,53.42671874,2.58586964,6.689081351,1.201911583,7.171508287,134.0385708,125.7488297,115.9882066
47,31,Agriculture,Grid,21.05698409,18.36610064,5.265462563,0.471194195,0.410980033,6.945356126,3.21875275,49.93717087,2.958707859,7.516537432,1.195796446,8.077888781,125.9472412,116.6599032,105.8823071
48,32,Agriculture,Grid,22.93837376,20.01218016,5.734089023,0.471162411,0.411057347,7.173495215,3.358618081,51.85097987,3.019411515,7.755625643,1.199531585,8.322654325,131.003003,121.4369792,110.2080095
49,33,Agriculture,Grid,21.30426756,18.53574126,5.242156355,0.472565314,0.411154637,7.501295296,3.410294089,50.13956111,3.206097243,8.022359895,1.19059589,8.639289196,127.0111894,116.9880873,105.5200393
50,34,Agriculture,Grid,23.51801974,20.40984862,5.674923669,0.474126935,0.411465722,8.415700849,3.797999156,52.29746492,3.563133921,8.902407862,1.190079759,9.588993121,133.3676933,122.1673097,109.3462923
